,country_id,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,home_net_score,away_net_score,avg_h_bet,avg_d_bet,avg_a_bet
1,1,1,2008/2009,1,08/08/16,492474,10000,9994,0,0,0,0,1.8988888888888888,3.25,3.616666666666667
2,1,1,2008/2009,1,08/08/16,492475,9984,8635,0,3,0,0,2.462222222222222,3.233333333333333,2.5444444444444443
4,1,1,2008/2009,1,08/08/16,492477,7947,9985,1,3,0,0,4.4944444444444445,3.4222222222222225,1.6744444444444444
6,1,1,2008/2009,1,08/08/16,492479,9999,8571,2,2,0,0,1.9577777777777778,3.2666666666666666,3.4000000000000004
7,1,1,2008/2009,1,08/08/16,492480,4049,9996,1,2,0,0,2.714444444444444,3.2722222222222217,2.3166666666666664
8,1,1,2008/2009,1,08/08/16,492481,10001,9986,1,0,0,0,2.2222222222222223,3.2333333333333334,2.8422222222222224
0,1,1,2008/2009,1,08/08/17,492473,9987,9993,1,1,0,0,1.7655555555555555,3.322222222222222,4.164444444444445
3,1,1,2008/2009,1,08/08/17,492476,9991,9998,5,0,0,0,1.4388888888888887,3.8055555555555554,6.533333333333333
103,1,1,2008/2009,2,08/08/23,492486,9986,9999,1,0,-1,0,1.587777777777778,3.4833333333333334,5.211111111111111
104,1,1,2008/2009,2,08/08/23,492487,9994,4049,4,1,0,-1,1.64,3.438888888888888,4.753333333333334
105,1,1,2008/2009,2,08/08/23,492488,9996,8203,3,1,1,0,2.0066666666666664,3.2666666666666666,3.266666666666667
106,1,1,2008/2009,2,08/08/23,492489,8571,9984,2,1,0,-3,2.7188888888888894,3.2222222222222223,2.3011111111111107
107,1,1,2008/2009,2,08/08/23,492490,9993,7947,1,1,0,-2,1.5466666666666664,3.5888888888888886,5.333333333333333
101,1,1,2008/2009,2,08/08/23,492484,9985,10001,3,0,2,1,1.347777777777778,4.12,7.944444444444445
100,1,1,2008/2009,2,08/08/23,492483,8635,9991,2,2,3,5,1.5911111111111111,3.494444444444444,5.088888888888889
102,1,1,2008/2009,2,08/08/24,492485,9998,9987,3,1,-5,0,3.0222222222222226,3.2444444444444445,2.1222222222222222
205,1,1,2008/2009,3,08/08/29,492498,4049,8342,1,4,-4,0,5.622222222222223,3.7111111111111117,1.5200000000000002
198,1,1,2008/2009,3,08/08/30,492491,8635,8571,4,0,3,1,1.251111111111111,4.861111111111111,9.333333333333334
199,1,1,2008/2009,3,08/08/30,492492,9987,9994,1,0,-2,3,1.6644444444444444,3.383333333333333,4.644444444444444
200,1,1,2008/2009,3,08/08/30,492493,9984,9998,2,1,-4,-3,1.6488888888888888,3.383333333333333,4.72
202,1,1,2008/2009,3,08/08/30,492495,7947,9996,1,2,-2,3,2.4499999999999997,3.2277777777777774,2.531111111111111
203,1,1,2008/2009,3,08/08/30,492496,8203,10000,0,2,-2,0,2.105555555555556,3.216666666666667,3.066666666666667
206,1,1,2008/2009,3,08/08/30,492499,10001,9993,1,0,-2,0,2.2844444444444445,3.188888888888888,2.7744444444444447
201,1,1,2008/2009,3,08/08/31,492494,9991,9986,2,0,5,0,1.6588888888888886,3.433333333333333,4.577777777777778
204,1,1,2008/2009,3,08/08/31,492497,9999,9985,1,1,-1,5,4.955555555555556,3.533333333333333,1.5977777777777777
260,1,1,2008/2009,4,08/09/13,492511,9993,9999,3,0,-1,-1,1.5644444444444447,3.5055555555555555,5.416666666666667
258,1,1,2008/2009,4,08/09/13,492508,8203,4049,0,0,-4,-7,1.541111111111111,3.511111111111111,5.6
257,1,1,2008/2009,4,08/09/13,492506,9994,10001,1,1,2,-1,2.177777777777778,3.1722222222222225,2.97
253,1,1,2008/2009,4,08/09/13,492501,9985,8571,2,0,5,-3,1.1944444444444442,5.477777777777778,10.833333333333334
259,1,1,2008/2009,4,08/09/13,492509,9996,9991,4,2,4,7,2.678888888888889,3.1833333333333327,2.35
252,1,1,2008/2009,4,08/09/13,492500,8342,7947,1,1,3,-3,1.218888888888889,5.033333333333333,10.88888888888889
254,1,1,2008/2009,4,08/09/13,492502,9998,8635,1,2,-4,7,5.283333333333333,3.5055555555555555,1.568888888888889
255,1,1,2008/2009,4,08/09/14,492503,10000,9987,1,3,2,-1,2.817777777777778,3.1944444444444446,2.267777777777778
256,1,1,2008/2009,4,08/09/14,492504,9986,9984,3,2,-2,-3,2.388888888888889,3.1944444444444446,2.6366666666666667
261,1,1,2008/2009,5,08/09/19,492517,8635,9986,2,0,8,-1,1.3311111111111111,4.308888888888889,8.166666666666666
269,1,1,2008/2009,5,08/09/20,492525,10001,9996,0,0,-1,6,2.3066666666666666,3.227777777777778,2.7466666666666666
267,1,1,2008/2009,5,08/09/20,492523,8571,9998,1,0,-5,-5,2.1444444444444444,3.211111111111111,3.0422222222222226
266,1,1,2008/2009,5,08/09/20,492522,9999,9994,0,1,-4,2,2.301111111111111,3.188888888888889,2.772222222222222
265,1,1,2008/2009,5,08/09/20,492521,7947,10000,2,0,-3,0,2.397777777777778,3.1944444444444446,2.6333333333333333
264,1,1,2008/2009,5,08/09/20,492520,9991,8203,1,2,5,-4,1.3888888888888888,4.003333333333334,7.177777777777777
263,1,1,2008/2009,5,08/09/20,492519,9984,9993,1,0,-4,2,2.0122222222222224,3.216666666666667,3.3222222222222224
268,1,1,2008/2009,5,08/09/21,492524,4049,9985,0,1,-7,7,6.777777777777778,3.888888888888889,1.4188888888888889
262,1,1,2008/2009,5,08/09/21,492518,9987,8342,0,1,1,3,2.5088888888888885,3.2055555555555553,2.538888888888889
5,1,1,2008/2009,1,08/09/24,492478,8203,8342,1,1,-3,4,4.60625,3.3999999999999995,1.6887499999999998
271,1,1,2008/2009,6,08/09/26,492527,9985,8635,2,1,8,10,2.188888888888889,3.222222222222222,3.038888888888889
270,1,1,2008/2009,6,08/09/27,492526,8342,10001,2,0,4,-1,1.4355555555555553,3.855555555555556,6.722222222222222
272,1,1,2008/2009,6,08/09/27,492528,9998,9999,2,0,-6,-5,1.857777777777778,3.3,3.827777777777778
273,1,1,2008/2009,6,08/09/27,492529,10000,4049,1,0,-2,-8,1.62,3.488888888888889,5.094444444444445
274,1,1,2008/2009,6,08/09/27,492530,9986,8571,1,2,-3,-4,1.6388888888888888,3.4444444444444446,5.027777777777778
275,1,1,2008/2009,6,08/09/27,492531,9994,9984,1,1,3,-3,2.4499999999999997,3.211111111111111,2.6222222222222222
277,1,1,2008/2009,6,08/09/28,492534,9996,9987,1,2,6,0,2.3888888888888884,3.216666666666667,2.6888888888888887
278,1,1,2008/2009,6,08/09/28,492535,9993,9991,2,2,1,4,2.3422222222222224,3.222222222222222,2.7444444444444445
276,1,1,2008/2009,6,08/09/29,492532,8203,7947,4,1,-3,-1,1.8044444444444447,3.3333333333333335,4.053333333333333
294,1,1,2008/2009,8,08/10/18,492551,9996,9999,2,0,5,-7,1.5411111111111113,3.5333333333333337,5.733333333333333
293,1,1,2008/2009,8,08/10/18,492550,8203,10001,1,3,0,-3,2.2111111111111112,3.211111111111111,2.9055555555555554
292,1,1,2008/2009,8,08/10/18,492549,7947,9987,2,4,-4,1,3.738888888888889,3.3166666666666664,1.8655555555555554
289,1,1,2008/2009,8,08/10/18,492546,9985,9998,2,1,9,-4,1.1966666666666668,5.422222222222222,11.666666666666666
296,1,1,2008/2009,8,08/10/18,492553,9993,9986,1,2,1,-4,1.911111111111111,3.2555555555555555,3.638888888888889
291,1,1,2008/2009,8,08/10/18,492548,9994,8571,2,0,3,-3,1.913333333333333,3.25,3.611111111111111
295,1,1,2008/2009,8,08/10/18,492552,4049,9991,0,1,-9,4,4.7555555555555555,3.4722222222222223,1.6333333333333335
290,1,1,2008/2009,8,08/10/19,492547,10000,8635,4,0,-1,9,4.405555555555555,3.372222222222222,1.7155555555555553
288,1,1,2008/2009,8,08/10/19,492545,8342,9984,3,1,6,-3,1.691111111111111,3.4055555555555554,4.5311111111111115
304,1,1,2008/2009,9,08/10/24,492562,8571,9996,2,2,-5,7,2.3166666666666664,3.227777777777778,2.7588888888888885
300,1,1,2008/2009,9,08/10/25,492557,9986,9994,1,1,-3,5,2.022222222222222,3.2277777777777774,3.327777777777778
301,1,1,2008/2009,9,08/10/25,492558,9984,7947,1,2,-5,-6,1.451111111111111,3.8499999999999996,6.472222222222222
303,1,1,2008/2009,9,08/10/25,492561,9999,10000,0,3,-9,3,2.555555555555556,3.2166666666666663,2.4777777777777774
297,1,1,2008/2009,9,08/10/25,492554,8635,8203,7,1,5,-2,1.2455555555555555,5.038888888888889,10.0
305,1,1,2008/2009,9,08/10/25,492563,10001,4049,4,1,-1,-10,1.4633333333333332,3.788888888888889,6.416666666666667
302,1,1,2008/2009,9,08/10/26,492559,9991,8342,3,0,5,8,2.683333333333333,3.2055555555555553,2.38
298,1,1,2008/2009,9,08/10/26,492555,9987,9985,0,0,3,10,2.727777777777778,3.211111111111111,2.341111111111111
99,1,1,2008/2009,2,08/10/29,492482,8342,10000,2,0,5,6,1.3511111111111114,4.277777777777778,7.722222222222222
279,1,1,2008/2009,7,08/10/3,492536,8635,9996,2,1,11,7,1.3955555555555557,4.017777777777777,7.25
10,1,1,2008/2009,10,08/10/31,492565,9985,9986,1,2,10,-3,1.271111111111111,4.753333333333334,9.277777777777779
283,1,1,2008/2009,7,08/10/4,492540,9991,9994,1,1,8,5,1.6644444444444444,3.3888888888888884,4.725555555555555
281,1,1,2008/2009,7,08/10/4,492538,9998,9986,1,1,-5,-2,2.283333333333333,3.211111111111111,2.8177777777777777
280,1,1,2008/2009,7,08/10/4,492537,9987,8203,2,1,3,-8,1.45,3.8922222222222222,6.444444444444445
286,1,1,2008/2009,7,08/10/4,492543,4049,7947,2,1,-13,-5,2.381111111111111,3.211111111111111,2.67
287,1,1,2008/2009,7,08/10/4,492544,10001,10000,3,2,2,4,1.8933333333333333,3.288888888888889,3.714444444444445
285,1,1,2008/2009,7,08/10/4,492542,8571,9993,0,0,-5,0,2.4577777777777774,3.211111111111111,2.6
284,1,1,2008/2009,7,08/10/5,492541,9999,8342,0,1,-12,7,5.077777777777778,3.483333333333333,1.617777777777778
282,1,1,2008/2009,7,08/10/5,492539,9984,9985,4,1,-6,9,3.094444444444444,3.216666666666667,2.1333333333333333
9,1,1,2008/2009,10,08/11/1,492564,8342,8571,4,1,8,-5,1.2844444444444443,4.666666666666667,9.11111111111111
15,1,1,2008/2009,10,08/11/1,492570,9996,9984,0,1,6,-3,2.266666666666667,3.2222222222222223,2.8311111111111114
14,1,1,2008/2009,10,08/11/1,492569,8203,9999,1,2,-9,-13,1.7077777777777774,3.3611111111111103,4.342222222222222
13,1,1,2008/2009,10,08/11/1,492568,7947,10001,2,2,-6,3,2.727777777777778,3.2277777777777774,2.321111111111111
12,1,1,2008/2009,10,08/11/1,492567,9994,9998,0,0,5,-5,1.848888888888889,3.283333333333333,3.8388888888888895
16,1,1,2008/2009,10,08/11/1,492571,4049,9987,1,3,-12,4,5.383333333333334,3.561111111111112,1.56
35,1,1,2008/2009,12,08/11/14,492590,10001,9991,3,2,3,8,2.3833333333333337,3.188888888888888,2.7
31,1,1,2008/2009,12,08/11/15,492586,7947,8571,1,0,-6,-8,2.2055555555555557,3.1944444444444446,2.9333333333333336
33,1,1,2008/2009,12,08/11/15,492588,9996,9986,2,1,5,-2,2.1888888888888887,3.2222222222222223,2.9388888888888887
34,1,1,2008/2009,12,08/11/15,492589,4049,9984,3,0,-14,-2,4.0488888888888885,3.3555555555555556,1.7866666666666664
29,1,1,2008/2009,12,08/11/15,492584,10000,9993,2,2,3,0,2.0222222222222226,3.227777777777778,3.3222222222222224
28,1,1,2008/2009,12,08/11/15,492583,9987,9999,1,1,6,-12,1.2577777777777779,4.916666666666667,9.277777777777779
32,1,1,2008/2009,12,08/11/15,492587,8203,9998,0,0,-10,-5,2.0500000000000003,3.216666666666667,3.2666666666666666
30,1,1,2008/2009,12,08/11/16,492585,9994,9985,1,1,5,6,3.183333333333333,3.1999999999999997,2.088888888888889
27,1,1,2008/2009,12,08/11/16,492582,8342,8635,1,1,11,12,2.1722222222222225,3.1722222222222225,3.0055555555555555
17,1,1,2008/2009,10,08/11/2,492572,9993,8635,1,3,0,12,3.9722222222222223,3.322222222222222,1.7911111111111113
11,1,1,2008/2009,10,08/11/2,492566,10000,9991,0,2,3,7,2.574444444444444,3.211111111111111,2.4311111111111114
36,1,1,2008/2009,13,08/11/22,492591,8635,10001,2,0,14,4,1.441111111111111,3.903333333333333,6.666666666666667
38,1,1,2008/2009,13,08/11/22,492622,9998,8342,1,2,-5,11,4.331111111111111,3.366666666666666,1.748888888888889
39,1,1,2008/2009,13,08/11/22,492623,9986,4049,3,2,-3,-11,1.4944444444444445,3.736666666666667,6.161111111111111
40,1,1,2008/2009,13,08/11/22,492624,9984,8203,2,1,-5,-10,1.6033333333333333,3.5500000000000003,5.133333333333334
42,1,1,2008/2009,13,08/11/22,492631,9999,7947,2,2,-12,-5,2.336666666666667,3.216666666666667,2.7622222222222224
44,1,1,2008/2009,13,08/11/22,492638,9993,9994,0,2,-2,5,2.25,3.1666666666666665,2.927777777777778
37,1,1,2008/2009,13,08/11/22,492592,9985,9996,3,1,6,6,1.3566666666666665,4.222222222222222,7.75
41,1,1,2008/2009,13,08/11/23,492628,9991,9987,2,3,9,6,2.161111111111111,3.238888888888889,3.0144444444444445
49,1,1,2008/2009,14,08/11/28,492664,7947,8635,0,2,-5,16,4.966666666666667,3.5166666666666666,1.6155555555555556
52,1,1,2008/2009,14,08/11/29,492674,4049,8571,3,3,-12,-9,2.2811111111111106,3.1999999999999997,2.7911111111111113
48,1,1,2008/2009,14,08/11/29,492662,9991,9999,4,0,8,-12,1.3333333333333335,4.344444444444445,7.888888888888889
47,1,1,2008/2009,14,08/11/29,492658,10000,9986,4,2,1,-2,2.2222222222222223,3.2055555555555553,2.8722222222222222
46,1,1,2008/2009,14,08/11/29,492651,9987,9984,3,2,7,-4,1.6911111111111108,3.416666666666666,4.447777777777778
53,1,1,2008/2009,14,08/11/29,492677,10001,9998,2,1,2,-6,1.5811111111111114,3.466666666666667,5.261111111111111
51,1,1,2008/2009,14,08/11/29,492670,9996,9994,2,0,4,7,2.1833333333333336,3.188888888888888,2.961111111111111
45,1,1,2008/2009,14,08/11/30,492649,8342,9993,3,0,12,-4,1.3522222222222222,4.292222222222222,7.361111111111111
50,1,1,2008/2009,14,08/11/30,492666,8203,9985,0,0,-11,8,4.7811111111111115,3.4222222222222216,1.6411111111111112
21,1,1,2008/2009,11,08/11/7,492576,9984,10000,2,0,-5,3,1.7755555555555556,3.3833333333333337,4.097777777777778
24,1,1,2008/2009,11,08/11/8,492579,8571,8203,0,0,-9,-11,1.99,3.2666666666666666,3.338888888888889
23,1,1,2008/2009,11,08/11/8,492578,9999,4049,1,2,-16,-12,1.8211111111111111,3.3444444444444446,3.8722222222222222
22,1,1,2008/2009,11,08/11/8,492577,9991,7947,1,1,12,-7,1.38,4.1066666666666665,7.188888888888889
19,1,1,2008/2009,11,08/11/8,492574,9998,9996,0,0,-7,6,2.333333333333334,3.227777777777778,2.716666666666667
18,1,1,2008/2009,11,08/11/8,492573,8635,9994,2,3,18,5,1.308888888888889,4.488888888888889,8.277777777777779
25,1,1,2008/2009,11,08/11/8,492580,10001,9987,1,0,3,8,2.5166666666666666,3.2222222222222223,2.511111111111111
20,1,1,2008/2009,11,08/11/9,492575,9986,8342,2,2,-4,15,3.116666666666667,3.216666666666667,2.122222222222222
26,1,1,2008/2009,11,08/11/9,492581,9993,9985,1,3,-7,8,3.5944444444444446,3.2777777777777777,1.9066666666666667
68,1,1,2008/2009,16,08/12/12,492724,8203,9993,2,1,-11,-9,2.358888888888889,3.1944444444444446,2.7411111111111115
64,1,1,2008/2009,16,08/12/13,492713,9987,9986,1,0,7,-4,1.5488888888888888,3.5944444444444446,5.522222222222222
65,1,1,2008/2009,16,08/12/13,492717,10000,9996,2,1,1,6,2.0611111111111113,3.227777777777778,3.216666666666667
67,1,1,2008/2009,16,08/12/13,492722,7947,9994,1,1,-7,6,2.7888888888888888,3.2055555555555553,2.288888888888889
66,1,1,2008/2009,16,08/12/13,492720,9991,8571,1,1,12,-9,1.48,3.672222222222222,6.283333333333333
70,1,1,2008/2009,16,08/12/13,492734,4049,9998,2,1,-11,-7,2.485555555555555,3.2055555555555553,2.5611111111111113
71,1,1,2008/2009,16,08/12/13,492735,10001,9984,1,2,4,-3,1.9622222222222223,3.2444444444444445,3.4611111111111112
63,1,1,2008/2009,16,08/12/14,492709,8342,9985,1,4,15,10,2.3133333333333335,3.183333333333333,2.78
69,1,1,2008/2009,16,08/12/14,492728,9999,8635,0,3,-17,17,6.738888888888889,3.9555555555555557,1.4155555555555557
43,1,1,2008/2009,13,08/12/16,492636,8571,10000,1,0,-9,2,2.2955555555555556,3.1999999999999997,2.7944444444444447
72,1,1,2008/2009,17,08/12/19,492742,8635,9987,2,0,20,8,1.5755555555555556,3.572222222222223,5.2333333333333325
75,1,1,2008/2009,17,08/12/20,492749,9986,7947,2,0,-5,-7,1.6555555555555557,3.416666666666666,4.742222222222222
76,1,1,2008/2009,17,08/12/20,492753,9984,9999,4,3,-2,-20,1.4255555555555555,3.875555555555555,6.933333333333334
77,1,1,2008/2009,17,08/12/20,492757,9994,8203,2,2,6,-10,1.721111111111111,3.3222222222222224,4.525555555555555
78,1,1,2008/2009,17,08/12/20,492758,9996,8342,5,1,5,12,2.8666666666666667,3.211111111111111,2.2555555555555555
80,1,1,2008/2009,17,08/12/20,492763,9993,4049,2,0,-10,-10,1.6222222222222225,3.483333333333333,4.945555555555555
74,1,1,2008/2009,17,08/12/20,492746,9998,10000,2,2,-8,1,2.311111111111111,3.211111111111111,2.781111111111111
79,1,1,2008/2009,17,08/12/21,492760,8571,10001,0,0,-8,3,2.372222222222222,3.194444444444444,2.718888888888889
73,1,1,2008/2009,17,08/12/21,492745,9985,9991,2,1,13,12,1.5144444444444445,3.644444444444445,5.916666666666667
58,1,1,2008/2009,15,08/12/5,492693,9984,9991,3,1,-1,11,2.3144444444444447,3.1944444444444446,2.8033333333333332
57,1,1,2008/2009,15,08/12/6,492692,9986,8203,1,2,-3,-10,1.6533333333333333,3.4333333333333327,4.711111111111111
56,1,1,2008/2009,15,08/12/6,492689,9998,7947,5,2,-8,-9,2.1,3.1999999999999997,3.127777777777778
55,1,1,2008/2009,15,08/12/6,492686,9985,10000,1,2,14,1,1.307777777777778,4.447777777777778,8.38888888888889
54,1,1,2008/2009,15,08/12/6,492683,8635,4049,5,1,22,-12,1.1988888888888887,5.566666666666666,11.055555555555555
62,1,1,2008/2009,15,08/12/6,492706,9993,9996,3,0,-8,9,2.253333333333333,3.216666666666667,2.8277777777777775
60,1,1,2008/2009,15,08/12/6,492699,9999,10001,1,0,-21,3,3.0477777777777777,3.238888888888889,2.1222222222222227
61,1,1,2008/2009,15,08/12/7,492702,8571,9987,3,1,-8,6,3.188888888888889,3.2055555555555553,2.072222222222222
59,1,1,2008/2009,15,08/12/7,492696,9994,8342,2,0,6,8,2.7944444444444447,3.1777777777777776,2.292222222222222
